ID,AMOUNT_REQUESTED,LOAN_PURPOSE,LOAN_LENGTH,STATUS,DEBT_TO_INCOME_RATIO,HOME_OWNERSHIP,FICO_MED,OPEN_CREDIT_LINES,REVOLVING_CREDIT_BALANCE,INQUIRIES_IN_THE_LAST_6_MONTHS,AGE,MONTHLY_INCOME,YEARS_EMPLOYED,STATE,INTEREST_RATE,DEFAULT,FICO_MED_DIV_TWO
96613,27575,debt consolidation,36,accepted,19.63,MORTGAGE,692.0,6.0,8720.0,0.0,40,5166.67,17.0,CA,14.33,0.0,346.0
6263,1000,educational,36,accepted,10.69,OWN,757.0,22.0,17069.0,1.0,26,4583.33,7.0,NY,8.59,0.0,378.5
29283,12000,debt consolidation,36,accepted,12.85,RENT,707.0,8.0,12150.0,1.0,33,2708.33,7.0,IL,11.49,0.0,353.5
99766,30000,debt consolidation,36,accepted,22.21,MORTGAGE,717.0,14.0,33218.0,0.0,42,8000.0,17.0,SD,10.16,0.0,358.5
85893,13500,debt consolidation,36,accepted,31.7,RENT,682.0,11.0,31168.0,0.0,39,4166.67,7.0,WV,14.33,1.0,341.0
98972,9000,debt consolidation,36,accepted,22.65,MORTGAGE,667.0,9.0,16480.0,0.0,38,3250.0,10.0,OH,15.8,0.0,333.5
44054,15000,debt consolidation,36,accepted,9.16,MORTGAGE,732.0,11.0,11615.0,1.0,43,4250.0,16.0,AK,9.91,0.0,366.0
51948,5300,medical,36,accepted,12.82,RENT,727.0,8.0,9996.0,2.0,28,5500.0,8.0,CA,7.9,0.0,363.5
48676,7000,debt consolidation,36,accepted,16.76,RENT,687.0,12.0,6444.0,1.0,32,3650.0,12.0,NJ,13.11,1.0,343.5
20328,15000,debt consolidation,60,accepted,13.65,RENT,707.0,4.0,12786.0,0.0,36,2916.67,8.0,CA,18.25,0.0,353.5
71489,8000,home improvement,36,accepted,12.06,RENT,697.0,10.0,15360.0,1.0,37,5000.0,13.0,HI,14.09,0.0,348.5
43203,24000,debt consolidation,60,accepted,3.63,RENT,697.0,6.0,8568.0,1.0,44,7500.0,17.0,CA,19.03,0.0,348.5
48319,7500,debt consolidation,36,accepted,10.02,RENT,717.0,9.0,2382.0,0.0,35,5500.0,13.0,DE,8.9,0.0,358.5
5367,17000,debt consolidation,36,accepted,12.7,RENT,737.0,5.0,3644.0,1.0,36,4583.33,13.0,GA,11.83,0.0,368.5
88084,6000,other,36,accepted,15.91,RENT,672.0,11.0,5760.0,1.0,36,3833.33,17.0,MN,15.31,0.0,336.0
101540,6725,debt consolidation,36,accepted,13.16,MORTGAGE,672.0,10.0,5513.0,9.0,35,5000.0,16.0,MO,13.12,0.0,336.0
9664,4500,debt consolidation,36,accepted,14.74,MORTGAGE,792.0,7.0,2705.0,0.0,35,2666.67,13.0,WV,6.76,0.0,396.0
1494,1600,other,36,accepted,5.36,RENT,702.0,5.0,7020.0,0.0,40,2427.0,9.0,RI,10.83,0.0,351.0
61703,10000,wedding,36,accepted,30.4,OWN,667.0,5.0,8379.0,0.0,46,2500.0,14.0,NY,17.77,0.0,333.5
61576,18550,debt consolidation,36,accepted,16.93,MORTGAGE,727.0,10.0,28877.0,0.0,30,5416.67,9.0,GA,7.9,0.0,363.5
21993,7450,debt consolidation,36,accepted,3.3,MORTGAGE,712.0,2.0,6416.0,1.0,38,5883.33,16.0,WA,13.06,0.0,356.0
57080,12000,debt consolidation,36,accepted,18.62,RENT,692.0,16.0,18838.0,0.0,36,5833.33,16.0,VA,12.12,0.0,346.0
30035,25000,debt consolidation,36,accepted,18.18,RENT,697.0,9.0,10630.0,2.0,37,6000.0,13.0,MA,16.49,0.0,348.5
103948,16000,credit card,36,accepted,17.86,MORTGAGE,727.0,7.0,18659.0,4.0,34,6666.67,11.0,CA,11.12,0.0,363.5
96659,4200,car,36,accepted,10.16,MORTGAGE,812.0,4.0,1548.0,0.0,46,3041.67,16.0,NC,8.9,0.0,406.0
67158,10000,debt consolidation,36,accepted,21.45,RENT,677.0,11.0,8548.0,0.0,45,4583.33,13.0,CO,14.09,1.0,338.5
33777,6000,home improvement,36,accepted,2.52,MORTGAGE,752.0,4.0,1442.0,0.0,37,4800.0,17.0,NJ,7.51,0.0,376.0
59724,6000,debt consolidation,36,accepted,15.33,RENT,687.0,7.0,12503.0,2.0,33,3333.33,9.0,KS,13.11,1.0,343.5
67629,16000,debt consolidation,36,accepted,6.48,MORTGAGE,767.0,8.0,19539.0,0.0,42,6000.0,,IL,7.62,0.0,383.5
51929,9525,small business,36,accepted,11.35,RENT,672.0,15.0,5610.0,1.0,27,2666.67,,CA,15.81,1.0,336.0
13216,6000,debt consolidation,36,accepted,14.08,MORTGAGE,677.0,9.0,3621.0,3.0,31,2500.0,8.0,IL,14.35,1.0,338.5
103405,10000,debt consolidation,36,accepted,11.5,MORTGAGE,677.0,4.0,3035.0,5.0,37,5250.0,8.0,FL,14.96,1.0,338.5
53271,7000,major purchase,36,accepted,8.03,MORTGAGE,752.0,9.0,6761.0,1.0,33,10000.0,13.0,NM,6.62,0.0,376.0
25380,4500,debt consolidation,36,accepted,18.48,MORTGAGE,767.0,18.0,17863.0,3.0,36,10000.0,12.0,CA,5.99,0.0,383.5
6987,12000,debt consolidation,36,accepted,2.37,MORTGAGE,737.0,13.0,10944.0,0.0,42,12500.0,12.0,MD,11.14,0.0,368.5
96413,10375,debt consolidation,36,accepted,4.99,RENT,667.0,9.0,6122.0,1.0,31,4166.67,11.0,CT,19.72,1.0,333.5
88273,4800,other,36,accepted,10.89,MORTGAGE,672.0,8.0,17943.0,0.0,44,5833.33,16.0,NM,18.75,1.0,336.0
48519,6400,credit card,36,accepted,11.46,MORTGAGE,702.0,7.0,8942.0,1.0,39,4666.67,16.0,LA,13.11,0.0,351.0
69456,5000,debt consolidation,36,accepted,17.22,OWN,707.0,10.0,6023.0,0.0,39,4000.0,17.0,CA,7.9,0.0,353.5
41198,12000,credit card,36,accepted,21.66,RENT,742.0,11.0,20639.0,0.0,35,5250.0,7.0,NC,6.62,0.0,371.0
44282,23850,other,60,accepted,18.75,MORTGAGE,692.0,23.0,37251.0,0.0,42,4250.0,10.0,NY,21.48,0.0,346.0
34122,15000,small business,36,accepted,16.15,MORTGAGE,722.0,14.0,338.0,2.0,36,7083.33,16.0,OH,10.65,0.0,361.0
84563,8000,other,36,accepted,0.0,MORTGAGE,767.0,7.0,0.0,1.0,29,3500.0,,NC,7.62,0.0,383.5
98634,20000,credit card,36,accepted,18.67,MORTGAGE,717.0,9.0,29044.0,0.0,40,14583.33,14.0,FL,6.03,0.0,358.5
73526,20000,debt consolidation,36,accepted,15.09,RENT,712.0,17.0,29756.0,2.0,38,8233.33,7.0,NC,13.11,0.0,356.0
67263,18825,credit card,36,accepted,13.08,RENT,712.0,6.0,20694.0,1.0,30,4000.0,11.0,MI,14.09,0.0,356.0
41267,35000,small business,36,accepted,1.59,RENT,777.0,10.0,1992.0,0.0,29,18333.33,7.0,IL,7.9,0.0,388.5
64884,9000,vacation,36,accepted,5.58,MORTGAGE,817.0,11.0,675.0,0.0,49,9583.33,,NJ,6.03,0.0,408.5
18452,4000,home improvement,36,accepted,15.0,RENT,747.0,5.0,587.0,1.0,31,4234.0,8.0,CT,6.17,0.0,373.5
25405,8000,credit card,36,accepted,14.76,RENT,712.0,9.0,7120.0,2.0,28,7500.0,7.0,NY,10.99,0.0,356.0
85644,10000,debt consolidation,36,accepted,9.3,MORTGAGE,727.0,8.0,8940.0,2.0,38,3333.33,,TX,10.16,0.0,363.5
85686,10000,small business,36,accepted,14.76,RENT,677.0,7.0,4762.0,0.0,41,5000.0,11.0,NY,14.09,0.0,338.5
54649,14000,credit card,36,accepted,19.53,MORTGAGE,767.0,13.0,4140.0,0.0,44,6000.0,14.0,CT,6.03,0.0,383.5
74479,25000,debt consolidation,60,accepted,10.53,MORTGAGE,702.0,8.0,15159.0,1.0,39,6250.0,15.0,IL,19.05,0.0,351.0
76693,35000,debt consolidation,36,accepted,14.62,RENT,737.0,9.0,21321.0,0.0,48,10416.67,16.0,CA,8.9,0.0,368.5
63266,7200,debt consolidation,36,accepted,27.89,MORTGAGE,692.0,8.0,20342.0,0.0,37,3750.0,17.0,OK,11.14,0.0,346.0
32008,14000,debt consolidation,60,accepted,9.89,MORTGAGE,762.0,17.0,23773.0,0.0,38,9000.0,11.0,CA,8.49,0.0,381.0
13996,15000,debt consolidation,36,accepted,19.1,RENT,682.0,4.0,34044.0,1.0,34,5132.0,9.0,TX,15.21,0.0,341.0
80638,25000,debt consolidation,60,accepted,32.1,OWN,697.0,21.0,35208.0,1.0,38,4916.67,13.0,NY,19.72,0.0,348.5
36889,10800,debt consolidation,36,accepted,7.89,RENT,677.0,6.0,6487.0,1.0,40,9583.33,7.0,CA,14.65,0.0,338.5
72169,20000,credit card,36,accepted,21.44,MORTGAGE,702.0,9.0,14268.0,1.0,37,6250.0,15.0,GA,14.33,0.0,351.0
19548,4000,debt consolidation,36,accepted,1.97,RENT,697.0,13.0,1869.0,1.0,50,2900.0,,KS,10.74,0.0,348.5
59117,1400,vacation,36,accepted,27.14,MORTGAGE,732.0,6.0,6466.0,0.0,34,4683.33,9.0,NV,9.76,0.0,366.0
224,24625,credit card,36,accepted,12.81,MORTGAGE,677.0,14.0,33698.0,0.0,40,10000.0,15.0,NY,14.07,1.0,338.5
85618,5000,debt consolidation,36,accepted,29.02,MORTGAGE,682.0,11.0,3977.0,1.0,36,5416.67,8.0,FL,14.09,0.0,341.0
43436,25000,debt consolidation,36,accepted,20.49,RENT,727.0,14.0,27203.0,0.0,39,7916.67,8.0,NY,9.91,0.0,363.5
65134,34500,small business,36,accepted,16.46,MORTGAGE,807.0,8.0,5317.0,0.0,45,10000.0,16.0,CA,6.62,0.0,403.5
20263,10000,debt consolidation,36,accepted,6.49,MORTGAGE,747.0,17.0,75629.0,0.0,26,12500.0,8.0,GA,5.79,0.0,373.5
9194,3200,debt consolidation,36,accepted,6.51,RENT,742.0,7.0,3198.0,0.0,39,4500.0,12.0,MA,9.88,0.0,371.0
27520,5500,debt consolidation,60,accepted,17.95,RENT,702.0,16.0,13256.0,0.0,43,4250.0,17.0,RI,15.99,0.0,351.0
45941,3000,debt consolidation,36,accepted,21.82,OWN,722.0,4.0,2413.0,0.0,34,1100.0,,VA,9.76,0.0,361.0
69242,18000,debt consolidation,60,accepted,9.05,RENT,662.0,6.0,13106.0,0.0,40,7083.33,17.0,WI,23.28,1.0,331.0
2633,10000,debt consolidation,36,accepted,13.77,MORTGAGE,737.0,6.0,1251.0,1.0,38,4190.0,7.0,OK,9.63,0.0,368.5
48662,8800,credit card,36,accepted,16.73,RENT,702.0,13.0,14266.0,1.0,28,3150.25,11.0,WI,13.11,0.0,351.0
65775,7000,debt consolidation,36,accepted,23.02,MORTGAGE,707.0,17.0,19634.0,2.0,36,6000.0,12.0,TX,11.14,0.0,353.5
92773,8000,debt consolidation,36,accepted,19.01,RENT,727.0,8.0,7554.0,1.0,31,2625.0,11.0,AK,13.11,0.0,363.5
33161,3000,credit card,36,accepted,16.62,RENT,662.0,4.0,4136.0,0.0,44,3833.33,,SC,17.27,0.0,331.0
37985,12000,debt consolidation,36,accepted,11.91,RENT,737.0,18.0,33702.0,1.0,42,7500.0,16.0,MD,7.51,0.0,368.5
81950,11625,debt consolidation,36,accepted,22.84,MORTGAGE,707.0,6.0,27411.0,2.0,36,2833.33,15.0,NY,14.33,0.0,353.5
84215,30000,credit card,36,accepted,16.7,MORTGAGE,672.0,14.0,19096.0,2.0,36,12500.0,15.0,MD,21.49,1.0,336.0
93352,16000,debt consolidation,36,accepted,19.71,RENT,722.0,11.0,6185.0,1.0,35,7083.33,10.0,CO,8.9,0.0,361.0
10474,10800,major purchase,36,accepted,15.32,MORTGAGE,717.0,6.0,24675.0,0.0,45,8400.0,17.0,FL,10.75,0.0,358.5
15717,25000,debt consolidation,60,accepted,14.11,MORTGAGE,707.0,15.0,28748.0,3.0,44,7666.67,14.0,CO,16.69,0.0,353.5
103874,10000,other,60,accepted,14.86,RENT,712.0,9.0,5188.0,4.0,34,3916.67,11.0,MO,13.98,0.0,356.0
5169,6000,credit card,36,accepted,18.2,MORTGAGE,707.0,9.0,50935.0,0.0,35,5031.67,17.0,NY,11.48,0.0,353.5
29812,8000,debt consolidation,36,accepted,14.92,RENT,687.0,18.0,4786.0,1.0,33,5000.0,8.0,CO,13.49,1.0,343.5
56991,15000,credit card,36,accepted,9.73,MORTGAGE,662.0,11.0,14596.0,0.0,44,5000.0,14.0,GA,18.25,0.0,331.0
62537,7000,other,36,accepted,32.25,RENT,667.0,12.0,35604.0,3.0,39,3333.33,14.0,NY,17.77,0.0,333.5
22858,8400,renewable energy,36,accepted,13.3,RENT,747.0,9.0,6998.0,1.0,37,3000.0,7.0,MD,6.92,0.0,373.5
78602,15000,debt consolidation,36,accepted,18.62,MORTGAGE,742.0,10.0,17212.0,0.0,39,4500.0,13.0,PA,7.9,0.0,371.0
93778,15000,debt consolidation,36,accepted,13.3,RENT,667.0,7.0,11368.0,1.0,36,5000.0,7.0,TX,14.33,0.0,333.5
87504,2800,major purchase,36,accepted,12.0,RENT,697.0,7.0,7261.0,0.0,26,2083.33,7.0,NY,10.16,0.0,348.5
92105,7750,debt consolidation,36,accepted,26.74,MORTGAGE,682.0,18.0,17102.0,0.0,40,2916.67,12.0,FL,16.29,1.0,341.0
59387,4500,credit card,36,accepted,18.18,RENT,702.0,8.0,5361.0,0.0,31,2166.67,10.0,UT,8.9,0.0,351.0
6067,17500,debt consolidation,36,accepted,21.63,RENT,717.0,7.0,20010.0,0.0,40,3666.67,13.0,CO,12.53,0.0,358.5
62445,18000,debt consolidation,60,accepted,4.93,RENT,712.0,6.0,11596.0,0.0,43,5258.5,17.0,CA,15.31,0.0,356.0
35834,15000,debt consolidation,60,accepted,17.9,MORTGAGE,722.0,14.0,7956.0,1.0,31,2748.0,13.0,PA,15.27,0.0,361.0
24320,6000,credit card,36,accepted,19.57,OWN,667.0,13.0,8077.0,1.0,27,4583.33,8.0,KS,15.23,0.0,333.5
68821,11500,credit card,36,accepted,28.25,RENT,702.0,6.0,9079.0,0.0,29,2750.0,11.0,CA,11.14,0.0,351.0
96988,10000,credit card,36,accepted,7.56,RENT,687.0,8.0,10906.0,0.0,37,2500.0,13.0,PA,13.11,1.0,343.5
47002,12000,credit card,36,accepted,12.46,RENT,727.0,5.0,13940.0,0.0,43,5000.0,16.0,MD,8.9,0.0,363.5
53897,10000,debt consolidation,36,accepted,18.4,MORTGAGE,687.0,7.0,13202.0,0.0,44,5000.0,17.0,CA,12.12,0.0,343.5
40136,35000,debt consolidation,60,accepted,18.21,RENT,682.0,8.0,19789.0,2.0,38,7916.67,16.0,AL,21.28,0.0,341.0
14952,7200,major purchase,60,accepted,17.97,RENT,752.0,7.0,2753.0,1.0,39,3000.0,8.0,PA,10.38,0.0,376.0
40856,4000,car,60,accepted,4.48,OWN,802.0,16.0,6696.0,0.0,29,4000.0,8.0,TX,7.9,0.0,401.0
4938,5300,debt consolidation,36,accepted,8.47,MORTGAGE,742.0,5.0,73258.0,1.0,34,8333.33,9.0,UT,11.14,0.0,371.0
59272,1200,other,36,accepted,8.69,MORTGAGE,732.0,14.0,350.0,1.0,44,3833.33,13.0,NY,7.62,0.0,366.0
82071,17000,debt consolidation,36,accepted,26.35,OWN,702.0,21.0,39130.0,3.0,43,7500.0,16.0,MN,14.33,0.0,351.0
42319,10000,debt consolidation,36,accepted,3.8,MORTGAGE,697.0,8.0,7967.0,1.0,39,6666.67,10.0,CA,12.69,0.0,348.5
97954,4375,credit card,36,accepted,9.09,RENT,672.0,9.0,6944.0,2.0,39,2916.67,12.0,CA,19.05,0.0,336.0
41074,8500,home improvement,36,accepted,12.33,MORTGAGE,747.0,17.0,6370.0,0.0,43,6100.0,16.0,MO,6.03,0.0,373.5
30600,12000,small business,60,accepted,15.24,MORTGAGE,677.0,14.0,28589.0,2.0,31,7500.0,10.0,OH,16.89,0.0,338.5
63340,7000,debt consolidation,36,accepted,18.9,MORTGAGE,662.0,10.0,7315.0,2.0,33,2000.0,7.0,AR,18.49,0.0,331.0
35313,20800,debt consolidation,60,accepted,7.08,MORTGAGE,732.0,9.0,13197.0,0.0,35,6541.67,7.0,GA,12.69,0.0,366.0
45225,19200,other,60,accepted,3.45,MORTGAGE,747.0,14.0,50625.0,3.0,40,8333.33,9.0,IL,13.11,0.0,373.5
98090,22000,debt consolidation,60,accepted,21.32,MORTGAGE,702.0,9.0,10267.0,1.0,36,5416.67,17.0,KY,15.8,0.0,351.0
5282,7000,debt consolidation,36,accepted,17.08,RENT,667.0,11.0,13859.0,0.0,41,5000.0,9.0,NJ,19.47,1.0,333.5
52333,20000,credit card,36,accepted,17.08,RENT,732.0,10.0,14952.0,2.0,43,4916.67,11.0,CO,8.9,0.0,366.0
15274,2000,moving,36,accepted,18.35,RENT,747.0,9.0,21998.0,0.0,37,5733.58,10.0,WA,6.17,0.0,373.5
32037,18000,major purchase,60,accepted,15.03,MORTGAGE,757.0,9.0,6718.0,0.0,44,4000.0,17.0,OH,10.59,0.0,378.5
6528,20800,home improvement,36,accepted,21.77,OWN,792.0,6.0,682.0,1.0,43,11666.67,16.0,CA,11.48,0.0,396.0
10487,9000,debt consolidation,36,accepted,14.51,MORTGAGE,727.0,9.0,12217.0,0.0,39,5708.33,14.0,MA,7.88,0.0,363.5
64690,6000,credit card,36,accepted,22.5,RENT,672.0,18.0,5955.0,0.0,35,2666.67,17.0,UT,14.09,1.0,336.0
66605,5000,debt consolidation,36,accepted,34.2,RENT,667.0,18.0,5414.0,3.0,31,3750.0,10.0,CA,15.8,0.0,333.5
18512,12000,credit card,60,accepted,22.31,RENT,687.0,9.0,9398.0,0.0,35,4186.0,10.0,CA,14.83,0.0,343.5
1173,7000,credit card,36,accepted,6.36,MORTGAGE,752.0,9.0,21135.0,0.0,45,7583.33,16.0,AZ,8.0,0.0,376.0
22150,6000,major purchase,36,accepted,8.74,MORTGAGE,717.0,9.0,105730.0,1.0,48,15416.67,16.0,FL,10.0,0.0,358.5
104008,17000,debt consolidation,36,accepted,17.65,MORTGAGE,702.0,14.0,16230.0,4.0,28,9166.67,9.0,TX,13.98,0.0,351.0
43053,16350,credit card,36,accepted,25.03,OWN,732.0,7.0,25731.0,0.0,44,4541.67,16.0,MN,7.9,0.0,366.0
59192,20000,debt consolidation,36,accepted,20.04,MORTGAGE,757.0,14.0,31335.0,1.0,43,4625.0,16.0,TX,7.9,0.0,378.5
80538,12300,debt consolidation,36,accepted,10.01,RENT,692.0,15.0,12450.0,0.0,39,6583.33,7.0,CA,12.12,1.0,346.0
78519,4800,moving,36,accepted,4.61,RENT,692.0,3.0,7911.0,0.0,32,2666.67,7.0,TX,13.11,1.0,346.0
48236,14500,credit card,36,accepted,11.96,RENT,737.0,8.0,16398.0,0.0,37,4500.0,12.0,IL,7.9,0.0,368.5
51833,4200,debt consolidation,36,accepted,10.43,MORTGAGE,702.0,7.0,4490.0,0.0,31,2254.0,,CA,8.9,0.0,351.0
69446,22250,credit card,36,accepted,32.1,MORTGAGE,692.0,18.0,44868.0,0.0,47,6583.33,17.0,MN,14.09,0.0,346.0
18161,8000,home improvement,36,accepted,7.68,RENT,677.0,6.0,28579.0,1.0,37,25000.0,15.0,IL,14.09,1.0,338.5
78856,8325,debt consolidation,36,accepted,20.75,RENT,667.0,7.0,7676.0,0.0,26,2000.0,8.0,MO,17.77,1.0,333.5
48412,14000,debt consolidation,36,accepted,8.12,OWN,732.0,4.0,4776.0,0.0,41,10416.67,13.0,CA,13.11,0.0,366.0
